document_id,filename,full_path,bank_name,source_type,document_type,word_count
"goldman_sachs_group,_inc.,_the_2024_Q3","goldman_sachs_group,_inc.,_the_2024_Q3.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/goldman_sachs_group,_inc.,_the_2024_Q3.txt",goldman,News,News Article,3384
keycorp_2024_Q3,keycorp_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/keycorp_2024_Q3.txt,keycorp,News,News Article,276
discover_financial_services_2024_Q3,discover_financial_services_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/discover_financial_services_2024_Q3.txt,discover,News,News Article,559
morgan_stanley_2024_Q3,morgan_stanley_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/morgan_stanley_2024_Q3.txt,morgan,News,News Article,740
"charles_schwab_corporation,_the_2024_Q3","charles_schwab_corporation,_the_2024_Q3.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/charles_schwab_corporation,_the_2024_Q3.txt",charles,News,News Article,1767
"pnc_financial_services_group,_inc.,_the_2023_Q1","pnc_financial_services_group,_inc.,_the_2023_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/pnc_financial_services_group,_inc.,_the_2023_Q1.txt",pnc,News,News Article,657
"charles_schwab_corporation,_the_2023_Q1","charles_schwab_corporation,_the_2023_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/charles_schwab_corporation,_the_2023_Q1.txt",charles,News,News Article,1335
western_alliance_bancorporation_2023_Q1,western_alliance_bancorporation_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/western_alliance_bancorporation_2023_Q1.txt,western,News,News Article,699
american_express_company_2023_Q1,american_express_company_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/american_express_company_2023_Q1.txt,american,News,News Article,1038
truist_financial_corporation_2023_Q1,truist_financial_corporation_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/truist_financial_corporation_2023_Q1.txt,truist,News,News Article,657
capital_one_financial_corporation_2023_Q1,capital_one_financial_corporation_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/capital_one_financial_corporation_2023_Q1.txt,capital,News,News Article,657
"goldman_sachs_group,_inc.,_the_2023_Q1","goldman_sachs_group,_inc.,_the_2023_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/goldman_sachs_group,_inc.,_the_2023_Q1.txt",goldman,News,News Article,5731
jpmorgan_chase_&_co_2023_Q1,jpmorgan_chase_&_co_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/jpmorgan_chase_&_co_2023_Q1.txt,jpmorgan,News,News Article,3607
wells_fargo_&_company_2023_Q1,wells_fargo_&_company_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/wells_fargo_&_company_2023_Q1.txt,wells,News,News Article,798
"first_citizens_bancshares,_inc_2023_Q1","first_citizens_bancshares,_inc_2023_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/first_citizens_bancshares,_inc_2023_Q1.txt",first,News,News Article,3356
"charles_schwab_corporation,_the_2023_Q2","charles_schwab_corporation,_the_2023_Q2.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/charles_schwab_corporation,_the_2023_Q2.txt",charles,News,News Article,1059
morgan_stanley_2023_Q2,morgan_stanley_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/morgan_stanley_2023_Q2.txt,morgan,News,News Article,697
bank_of_america_corporation_2023_Q2,bank_of_america_corporation_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/bank_of_america_corporation_2023_Q2.txt,bank,News,News Article,3012
"goldman_sachs_group,_inc.,_the_2023_Q2","goldman_sachs_group,_inc.,_the_2023_Q2.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/goldman_sachs_group,_inc.,_the_2023_Q2.txt",goldman,News,News Article,6201
keycorp_2023_Q2,keycorp_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/keycorp_2023_Q2.txt,keycorp,News,News Article,752
capital_one_financial_corporation_2023_Q2,capital_one_financial_corporation_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/capital_one_financial_corporation_2023_Q2.txt,capital,News,News Article,344
first_horizon_corporation_2023_Q2,first_horizon_corporation_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/first_horizon_corporation_2023_Q2.txt,first,News,News Article,817
hsbc_north_america_holdings_inc_2023_Q2,hsbc_north_america_holdings_inc_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/hsbc_north_america_holdings_inc_2023_Q2.txt,hsbc,News,News Article,1194
